time,open,high,low,close,EMA,Volume,log_return_1,log_return_5,log_return_10,log_return_20
2015-01-13,555.5,566.75,547.25,548.0,578.3552763857078,61834,,,,
2015-01-14,548.0,549.75,536.0,537.75,577.951243784855,66809,-0.018881518800176158,-0.02074285018912515,-0.08122193066428517,-0.041449472365206394
2015-01-15,540.5,545.0,528.0,532.75,577.5014801651052,59519,-0.00934149716911286,-0.0074662036050051036,-0.0574045676873454,-0.031163995034828192
2015-01-16,536.75,542.0,531.25,532.75,577.0561918052534,54200,0.0,-0.005175264432558958,-0.05795924232596512,-0.0065913609637519984
2015-01-20,532.25,539.75,523.0,537.0,576.6576227325644,62926,0.00794582353013813,-0.023262382923702946,-0.07805032494589689,-0.0018788168983799528
2015-01-21,537.25,544.5,535.5,536.75,576.2605319591061,50807,-0.000465657749974319,-0.03409421134297601,-0.04426132869842038,-0.024983623272517158
2015-01-22,536.5,542.5,532.5,533.75,575.8375415913538,44525,-0.0056048722160561264,-0.06047908047516001,-0.04916284655518595,-0.03266562621960828
2015-01-23,532.75,536.0,526.25,530.0,575.3814466501462,57432,-0.007050557996666799,-0.0499383640823402,-0.015101749960025118,-0.051416560951651154
2015-01-26,530.75,534.75,519.25,520.5,574.8353626038761,52607,-0.018087118491143996,-0.05278397789340611,-0.005676458004805191,-0.050300738474798885
2015-01-27,519.5,524.25,517.5,519.0,574.2797868565739,40915,-0.0028860048891349867,-0.05478794202219404,0.017615309093384927,-0.03270977479413081
2015-01-28,519.0,520.5,503.0,505.25,573.5929233057622,78409,-0.02685052688215821,-0.010167117355444313,0.005284662791421485,-0.04281096543180705
2015-01-29,506.0,512.25,500.75,507.75,572.9377698400332,76823,0.004935844176763645,0.01131623391997402,0.03977245829907871,-0.009445757528455083
2015-01-30,508.0,511.75,497.0,502.75,572.2393840704806,67223,-0.009896171807732586,0.03483661412231513,0.026240572652517218,0.010286644710275525
2015-02-02,503.0,505.5,492.25,492.75,571.4484449255007,58166,-0.020091082619931814,0.047107519888600825,0.051367881362213104,-0.005484930230569669
2015-02-03,493.5,515.75,493.0,513.75,570.8743310456449,71013,0.04173481977761477,0.07240325111557887,0.07617150804751699,0.026534723254635902
