time,open,high,low,close,EMA,Volume,log_return_1,log_return_5,log_return_10,log_return_20
2010-09-22,504.5,512.0,500.25,505.0,392.2817300506829,187576,,,,
2010-09-23,506.25,507.0,495.25,499.25,393.34609094570095,192998,-0.011451456979435238,0.0,-0.03321895779252242,0.12719950729406548
2010-09-24,498.75,523.5,496.5,521.75,394.62374178206215,201964,0.04408157366138557,-0.007035204896019267,-0.0020050132030205213,0.1223904434017204
2010-09-27,522.0,528.75,511.25,512.75,395.799127435972,176759,-0.01740014900482011,-0.11353953647561224,0.012381110538855999,0.07074823777188477
2010-09-28,512.0,513.5,499.5,500.0,396.8359520385991,151856,-0.025180298530298222,-0.08386929487897776,0.08053015589181599,0.10365257331267025
2010-09-29,500.0,506.0,486.0,505.0,397.9122112222946,209526,0.009950330853168092,-0.01816397062767118,0.14669437915080344,0.1327811112338184
2010-09-30,505.0,508.25,478.5,495.75,398.8857215583912,307752,-0.018486661875454485,-0.03321895779252242,0.11976127566848908,0.13371701895924484
2010-10-01,494.75,494.75,465.75,465.75,399.5510377617903,304420,-0.062422757918207554,0.005030191692998791,0.1347283562600458,0.15523071017308995
2010-10-04,460.5,473.75,454.25,471.5,400.26694783381225,217559,0.012270092591814401,0.12592064701446817,0.18963061865799258,0.22282143824973996
2010-10-05,471.25,493.5,464.75,491.0,401.1697642732768,213718,0.04052502572100846,0.1643994507707937,0.16709487019246613,0.20235634616109255
2010-10-06,491.0,496.0,487.25,488.5,402.0387218426969,136692,-0.005104656311683173,0.16485834977847463,0.10617484795038437,0.1592294109062741
2010-10-07,488.25,502.5,487.75,498.25,402.99604799351584,205680,0.019762487610066777,0.15298023346101164,0.16041846508658797,0.17341128536907377
2010-10-08,497.75,528.25,496.0,528.25,404.2423559736799,85717,0.058467697403261895,0.12969816456704691,0.124395456604741,0.16902057780686094
2010-10-11,573.25,573.25,555.0,555.75,405.7498947202104,275238,0.05074889634813982,0.06370997164352434,0.05836712723302876,0.10673203092401284
2010-10-12,555.0,584.25,554.5,579.0,407.4737763647855,284555,0.040983924728689336,0.0026954194216723027,0.023122417420854205,0.051720553526714244
2010-10-13,578.0,588.0,565.5,569.25,409.0834900327976,247192,-0.016982772629146194,-0.05868350182809018,-0.013913267916985002,-0.0047608832621370235
2010-10-14,569.0,579.75,565.75,567.25,410.6572861518742,189203,-0.003519581283897845,0.007438231625576315,0.01395574329075578,-0.004401415556210622
2010-10-15,568.0,575.0,562.0,563.0,412.1731340508605,160433,-0.007520495520260733,-0.005302707962306072,0.020502353913044065,-0.005745872161892243
2010-10-18,561.5,563.0,553.0,557.25,413.6166849558271,146179,-0.010265655873712162,-0.0053428444104954695,0.03319081959174743,-0.05288378917949551
2010-10-19,557.25,562.0,542.75,546.0,414.9339318716896,232701,-0.0203949965210732,0.020426997999181837,0.035261475968626436,-0.0031453631862936047
2010-10-20,546.0,576.0,544.0,573.5,416.51170369386176,222193,0.049138960824520385,0.044770233911105226,0.05305456295588957,-0.03636764417087483
2010-10-21,573.0,579.5,561.75,564.25,417.98173649292784,187133,-0.01626052087178029,0.006517511665179334,0.0129928202824858,-0.08693212198661628
2010-10-22,564.0,571.0,559.5,560.0,419.39485354274944,142067,-0.0075606319684501985,0.02580506187535008,0.04462512120211999,-0.04069277528117659
2010-10-25,561.0,575.5,560.5,568.75,420.8809744030206,149493,0.015504186535965254,0.03853366400224298,0.048364903690984076,-0.07266670358811357
2010-10-26,567.0,577.25,562.0,571.0,422.37469605075177,173453,0.0039482393908500755,0.014834477969444558,0.028598136105860046,-0.0987887504945918
2010-10-27,571.75,579.0,561.5,577.25,423.9157438512418,176337,0.01088623857859442,0.008284329044784346,0.009152384654848087,-0.07734640434571784
2010-10-28,576.0,585.25,575.25,579.0,425.4588707780951,187624,0.0030270293383903996,0.006475308617306423,-0.018357158846966395,-0.06902380681664719
2010-10-29,579.0,583.0,571.0,582.0,427.01649395443246,130063,0.0051679701584425985,0.018820059326769882,-0.026248226074936327,-0.07297934132852282
2010-11-01,585.0,590.75,572.0,577.25,428.5113547111048,163197,-0.008194999496833055,0.009831239688741033,-0.08607460877124302,-0.07814731148696535
2010-11-02,577.75,583.0,572.25,575.75,429.976415858258,178280,-0.0026019095338101327,0.013763658136415337,-0.0384068391549201,-0.0593262013786621
2010-11-03,576.25,582.25,568.75,581.0,431.47913808852405,203281,0.00907721815111668,0.000868055610063593,-0.08942220712676434,-0.016637861903550846
2010-11-04,581.0,595.75,580.5,590.0,433.0564600975935,193299,0.015371780047854002,-0.02483246746427284,-0.09992494226910209,-0.0448821477722266
2010-11-05,590.0,591.75,583.0,587.75,434.59569930060246,193299,-0.0038208494795862104,-0.0450682854017062,-0.08531789648329666,-0.0283646003303397
2010-11-08,587.5,592.0,584.5,585.25,436.0947470687557,181957,-0.004262581049158714,-0.09590584845998407,-0.12103160727909748,-0.03418026869902752
2010-11-09,585.5,605.0,571.0,576.25,437.48932669991234,368624,-0.015497512060161912,-0.05217049729133544,-0.12738688660045172,-0.04098219530558163
